timestamp,open,high,low,close,volume
2020-01-01 22:00:00+00:00,61.449,61.539,60.667,61.187,57573.0
2020-01-02 22:00:00+00:00,61.207,64.108,61.147,63.052,144886.0
2020-01-05 22:00:00+00:00,63.782,64.745,62.663,62.863,102283.0
2020-01-06 22:00:00+00:00,62.933,63.163,62.132,62.727,84739.0
2020-01-07 22:00:00+00:00,62.842,65.657,59.16,59.98,200699.0
2020-01-08 22:00:00+00:00,59.97,60.32,58.679,59.609,100474.0
2020-01-09 22:00:00+00:00,59.629,59.788,58.858,59.142,73670.0
2020-01-12 22:00:00+00:00,59.142,59.275,57.924,58.086,91086.0
2020-01-13 22:00:00+00:00,58.102,58.723,57.733,58.156,93857.0
2020-01-14 22:00:00+00:00,58.198,58.393,57.404,58.116,64373.0
2020-01-15 22:00:00+00:00,58.109,58.864,57.591,58.604,77513.0
2020-01-16 22:00:00+00:00,58.594,58.984,58.304,58.804,72768.0
2020-01-19 22:00:00+00:00,59.302,59.647,58.555,58.702,38196.0
2020-01-20 22:00:00+00:00,58.86,58.865,57.705,58.245,77006.0
2020-01-21 22:00:00+00:00,58.245,58.365,56.056,56.126,92222.0
2020-01-22 22:00:00+00:00,56.141,56.256,54.767,55.689,118323.0
2020-01-23 22:00:00+00:00,55.681,55.947,53.852,54.164,99434.0
2020-01-26 22:00:00+00:00,53.578,53.658,52.138,52.798,153502.0
2020-01-27 22:00:00+00:00,52.768,54.048,52.668,53.951,114961.0
2020-01-28 22:00:00+00:00,53.983,54.358,52.809,53.086,120376.0
2020-01-29 22:00:00+00:00,53.084,53.189,51.659,52.944,142121.0
2020-01-30 22:00:00+00:00,52.909,53.349,50.969,51.589,160004.0
2020-02-02 22:00:00+00:00,50.8,51.96,49.8,49.898,184297.0
2020-02-03 22:00:00+00:00,49.893,51.55,49.313,49.436,184196.0
2020-02-04 22:00:00+00:00,49.496,51.871,49.491,51.198,198106.0
2020-02-05 22:00:00+00:00,51.226,52.178,50.231,51.091,148203.0
2020-02-06 22:00:00+00:00,51.131,51.468,50.081,50.346,132108.0
2020-02-09 22:00:00+00:00,49.982,50.479,49.422,49.655,125277.0
2020-02-10 22:00:00+00:00,49.627,50.682,49.62,49.943,107713.0
2020-02-11 22:00:00+00:00,50.02,51.723,50.02,51.665,114894.0
2020-02-12 22:00:00+00:00,51.708,51.953,50.603,51.523,127041.0
2020-02-13 22:00:00+00:00,51.548,52.323,51.323,52.208,106225.0
2020-02-16 22:00:00+00:00,52.204,52.379,51.814,52.322,17529.0
2020-02-17 22:00:00+00:00,52.114,52.184,50.905,52.113,40404.0
2020-02-18 22:00:00+00:00,52.098,53.608,51.915,53.464,44548.0
2020-02-19 22:00:00+00:00,53.395,54.401,53.199,53.463,52651.0
2020-02-20 22:00:00+00:00,53.488,53.603,52.324,53.197,61803.0
2020-02-23 22:00:00+00:00,53.197,53.197,50.248,51.145,79618.0
2020-02-24 22:00:00+00:00,51.081,51.816,49.509,49.883,85921.0
2020-02-25 22:00:00+00:00,49.918,50.252,48.131,48.436,117777.0
2020-02-26 22:00:00+00:00,48.491,48.586,45.726,46.196,142741.0
2020-02-27 22:00:00+00:00,46.172,46.864,43.71,45.117,196869.0
2020-03-01 22:00:00+00:00,43.502,47.402,43.494,47.375,174266.0
2020-03-02 22:00:00+00:00,47.612,48.52,46.356,46.988,178222.0
2020-03-03 22:00:00+00:00,46.871,48.292,46.537,47.09,108652.0
2020-03-04 22:00:00+00:00,47.053,47.448,45.548,45.913,98912.0
2020-03-05 22:00:00+00:00,46.058,46.268,40.965,41.522,179317.0
2020-03-08 21:00:00+00:00,29.954,34.806,27.295,30.093,371506.0
