trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
LTC_USD-4h-short-39:1,LTC_USD,4h,ltc_usd_4h,short,2024-01-10 10:00:00+00:00,2024-01-10 14:00:00+00:00,2024-01-10 18:00:00+00:00,66.1,68.29518450856943,60.540000000000006,68.29518450856943,stop,1.0,-2.195185,0.0,-2.195185,-1.0,-0.03321,1,1,88,normal,1.740738034277738,2.789999999999992,0.3842,3.14,normal,london,bearish_ll_lh_continuation,bearish,LTC_USD-4h-short-39
LTC_USD-4h-long-175:2,LTC_USD,4h,ltc_usd_4h,long,2024-02-11 22:00:00+00:00,2024-02-12 02:00:00+00:00,2024-02-12 06:00:00+00:00,71.66,69.88813715984571,74.70999999999998,70.55,trendline_invalidation,1.0,-1.11,0.0,-1.11,-0.6265,-0.01549,1,1,84,moderately_stretched,0.8874513606171351,1.1800000000000068,0.3364,3.26,normal,off_hours,bullish_hh_hl_continuation,bullish,LTC_USD-4h-long-175
LTC_USD-4h-long-180:3,LTC_USD,4h,ltc_usd_4h,long,2024-02-12 14:00:00+00:00,2024-02-12 18:00:00+00:00,2024-02-13 10:00:00+00:00,72.67,70.0691073490825,73.77000000000001,70.0691073490825,stop,1.0,-2.600893,0.0,-2.600893,-1.0,-0.03579,4,2,84,moderately_stretched,1.0035706036699819,2.700000000000003,0.3278,3.45,normal,london_new_york,bullish_hh_hl_continuation,bullish,LTC_USD-4h-long-180
LTC_USD-4h-long-262:4,LTC_USD,4h,ltc_usd_4h,long,2024-03-01 06:00:00+00:00,2024-03-01 10:00:00+00:00,2024-03-01 10:00:00+00:00,84.9,77.18703614661736,97.95999999999998,84.07,trendline_invalidation,1.0,-0.83,0.0,-0.83,-0.1076,-0.009776,0,1,78,moderately_stretched,2.8518554135305765,2.3800000000000097,0.4047,1.39,expanded,asia,bullish_hh_hl_continuation,bullish,LTC_USD-4h-long-262
LTC_USD-4h-short-335:5,LTC_USD,4h,ltc_usd_4h,short,2024-03-19 05:00:00+00:00,2024-03-19 09:00:00+00:00,2024-03-19 13:00:00+00:00,78.24,88.97657594230418,70.42499999999993,81.42,trendline_invalidation,1.0,-3.18,0.0,-3.18,-0.2962,-0.040644,1,1,78,moderately_stretched,3.586303769216732,4.22999999999999,0.4015,1.39,normal,asia,bearish_ll_lh_continuation,bearish,LTC_USD-4h-short-335
LTC_USD-4h-long-353:6,LTC_USD,4h,ltc_usd_4h,long,2024-03-24 21:00:00+00:00,2024-03-25 01:00:00+00:00,2024-03-26 13:00:00+00:00,88.84,79.82603914491015,98.79000000000002,88.16,trendline_invalidation,1.0,-0.68,0.0,-0.68,-0.0754,-0.007654,9,1,88,moderately_stretched,3.015843420359351,7.839999999999989,0.6416,4.15,normal,off_hours,bullish_hh_hl_continuation,bullish,LTC_USD-4h-long-353
LTC_USD-4h-long-373:7,LTC_USD,4h,ltc_usd_4h,long,2024-03-28 01:00:00+00:00,2024-03-28 05:00:00+00:00,2024-03-28 17:00:00+00:00,95.46,91.62039374719373,107.16000000000003,93.94,trendline_invalidation,1.0,-1.52,0.0,-1.52,-0.3959,-0.015923,3,1,84,moderately_stretched,2.7984250112250475,2.0,0.3592,3.97,normal,asia,bullish_hh_hl_continuation,bullish,LTC_USD-4h-long-373
LTC_USD-4h-short-435:8,LTC_USD,4h,ltc_usd_4h,short,2024-04-11 13:00:00+00:00,2024-04-11 17:00:00+00:00,2024-04-11 17:00:00+00:00,95.8,99.00039126500812,84.99999999999997,99.00039126500812,stop,1.0,-3.200391,0.0,-3.200391,-1.0,-0.033407,0,1,84,moderately_stretched,2.4815650600324664,2.039999999999992,0.3896,3.06,normal,london_new_york,bearish_ll_lh_continuation,bearish,LTC_USD-4h-short-435
LTC_USD-4h-long-533:9,LTC_USD,4h,ltc_usd_4h,long,2024-05-03 17:00:00+00:00,2024-05-05 21:00:00+00:00,2024-05-05 21:00:00+00:00,81.36,78.90601290680426,87.39999999999995,81.3,trendline_invalidation,1.0,-0.06,0.0,-0.06,-0.0245,-0.000737,0,1,79,moderately_stretched,1.7359483727829728,1.2700000000000102,0.2908,1.61,normal,new_york,bullish_hh_hl_continuation,bullish,LTC_USD-4h-long-533
LTC_USD-4h-long-598:10,LTC_USD,4h,ltc_usd_4h,long,2024-05-20 05:00:00+00:00,2024-05-20 09:00:00+00:00,2024-05-20 21:00:00+00:00,83.71,81.42045470440996,87.54000000000002,87.54000000000002,target,1.0,3.83,0.0,3.83,1.6728,0.045753,3,1,77,moderately_stretched,1.3181811823601488,1.519999999999996,0.405,1.34,normal,asia,bullish_hh_hl_continuation,bullish,LTC_USD-4h-long-598
