variant,segment,symbol,timeframe,profile_name,trades,win_rate,avg_r,profit_factor,max_drawdown_r,total_net_pnl,signals,status
base,segment_2023_h2,USD_CHF,4h,usd_chf_4h,17,0.29411764705882354,0.3825,2.06671806817809,-2.8665000000000007,0.009726999999999998,17,ok
base,segment_2023_h2,NZD_USD,4h,nzd_usd_4h,16,0.375,-0.026443750000000002,0.9239958324351513,-2.6345,-0.00536,16,ok
base,segment_2023_h2,EUR_GBP,4h,eur_gbp_4h,23,0.30434782608695654,0.007639130434782623,1.0309026312086675,-4.7,0.0022329999999999997,23,ok
base,segment_2023_h2,EUR_JPY,4h,eur_jpy_4h,12,0.4166666666666667,0.05529166666666666,1.238463197239793,-2.4051,1.5934480000000004,12,ok
base,segment_2023_h2,GBP_JPY,4h,gbp_jpy_4h,19,0.2631578947368421,-0.17289473684210527,0.5403408613886324,-6.214999999999999,-0.45629300000000006,19,ok
base,segment_2023_h2,BTC_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2023_h2,ETH_USD,4h,eth_usd_4h,6,0.16666666666666666,-0.47813333333333335,0.3282128137879355,-3.2704000000000004,-25.134641000000002,6,ok
base,segment_2023_h2,LTC_USD,4h,ltc_usd_4h,23,0.34782608695652173,-0.06627826086956522,0.8418951014862525,-3.659,-0.3650989999999996,23,ok
base,segment_2023_h2,BCH_USD,4h,bch_usd_4h,19,0.2631578947368421,-0.07533684210526319,0.7933145621254784,-3.3724000000000003,-11.706798999999998,19,ok
base,segment_2024_h1,WTICO_USD,4h,wtico_usd_4h,23,0.4782608695652174,-0.14043913043478262,0.5963031007461288,-5.2415,-2.867969,23,ok
base,segment_2024_h1,BCO_USD,4h,bco_usd_4h,21,0.3333333333333333,-0.2387476190476191,0.2904170853560156,-6.7501,-4.926894,21,ok
base,segment_2024_h1,XAG_USD,4h,xag_usd_4h,24,0.375,0.2885583333333333,1.773761773348379,-2.8655999999999997,2.7835850000000004,24,ok
base,segment_2024_h1,XAU_USD,4h,xau_usd_4h,7,0.42857142857142855,0.9667,2.8006173332268967,-2.0,64.37406100000001,7,ok
base,segment_2024_h1,UK100_GBP,4h,uk100_gbp_4h,3,0.6666666666666666,1.5068,5.5203999999999995,0.0,78.969952,3,ok
base,segment_2024_h1,NAS100_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2024_h1,US30_USD,4h,us30_usd_4h,2,0.0,-1.0,0.0,-1.0,-122.333494,2,ok
base,segment_2024_h1,SPX500_USD,4h,spx500_usd_4h,4,0.25,-0.541675,0.27776666666666666,-3.0,-21.093127000000003,4,ok
base,segment_2024_h1,FR40_EUR,4h,fr40_eur_4h,3,0.0,-1.0,0.0,-2.0,-57.025428,3,ok
base,segment_2024_h1,JP225_USD,4h,jp225_usd_4h,1,0.0,-1.0,0.0,0.0,-317.031039,1,ok
base,segment_2024_h1,ESPIX_EUR,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2024_h1,EUR_USD,4h,eur_usd_4h,13,0.3076923076923077,-0.056830769230769206,0.830332537203748,-3.0934999999999997,-0.0029950000000000003,13,ok
base,segment_2024_h1,GBP_USD,4h,gbp_usd_4h,9,0.2222222222222222,-0.1639,0.4965357179425919,-2.6075000000000004,0.0002449999999999999,9,ok
base,segment_2024_h1,USD_JPY,4h,usd_jpy_4h,10,0.5,0.17185,1.615464508273046,-2.5348,1.527101,10,ok
base,segment_2024_h1,AUD_USD,4h,aud_usd_4h,17,0.47058823529411764,0.27665294117647055,2.1859743796651196,-1.8321,0.014013,17,ok
base,segment_2024_h1,AUD_CHF,4h,aud_chf_4h,23,0.43478260869565216,0.3405,1.956343875931127,-2.2296999999999985,0.012110999999999999,23,ok
base,segment_2024_h1,USD_CAD,4h,usd_cad_4h,20,0.5,-0.12262500000000001,0.5883063906934582,-4.0224,-0.006939000000000001,20,ok
base,segment_2024_h1,USD_CHF,4h,usd_chf_4h,22,0.22727272727272727,-0.26355909090909097,0.46964181179569725,-5.7573,-0.021533999999999998,22,ok
base,segment_2024_h1,NZD_USD,4h,nzd_usd_4h,23,0.21739130434782608,-0.20850869565217392,0.4893845826235094,-4.2837,-0.014837000000000003,23,ok
base,segment_2024_h1,EUR_GBP,4h,eur_gbp_4h,25,0.28,-0.22152000000000002,0.5667615858810277,-5.8020000000000005,-0.006921,25,ok
base,segment_2024_h1,EUR_JPY,4h,eur_jpy_4h,16,0.3125,-0.20798125,0.4518514858008829,-2.8604000000000003,-1.6348820000000002,16,ok
base,segment_2024_h1,GBP_JPY,4h,gbp_jpy_4h,14,0.35714285714285715,-0.04665714285714288,0.8707097897945449,-4.1585,0.18998299999999968,14,ok
base,segment_2024_h1,BTC_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2024_h1,ETH_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
