symbol,variant,segments,trades,signals,win_rate,avg_r,profit_factor,max_drawdown_r,total_net_pnl,score
AUD_CHF,packet_d,6,148,149,0.35267002827311383,-0.053368326287317185,0.9274776542642457,-4.905733333333332,-0.02123600000000001,114.07934911205871
AUD_USD,packet_d,6,133,133,0.3544566544566545,0.04630426739926741,1.2243053393713852,-3.642,0.009461000000000002,191.2457473071019
BCH_USD,packet_b,6,85,85,0.2600464837306942,0.04294331384015596,1.1956795846402328,-3.241816666666667,-13.600641999999983,114.2151241560311
BCO_USD,base,6,107,107,0.37892399424907164,0.16731331502461533,1.5071789582841308,-3.3305666666666665,8.507792,212.58356157964386
BTC_USD,base,6,0,0,0.0,0.0,0.0,0.0,0.0,-50.0
ESPIX_EUR,base,6,2,2,0.16666666666666666,1.3037833333333333,166.5,0.0,652.953657,16716.189166666667
ETH_USD,packet_c,6,23,23,0.037037037037037035,-0.630211111111111,0.09402377307136173,-2.158166666666667,-762.50058,-60.60817824841938
EUR_GBP,packet_d,6,146,146,0.3107597082868822,-0.15922897120029728,0.6758185188123981,-6.6078833333333336,-0.036375000000000005,82.62040332122496
EUR_JPY,packet_d,6,140,140,0.4091975890910982,0.16488395114154497,1.6251238635249876,-4.124883333333333,10.388711,240.75658390957602
EUR_USD,base,6,104,104,0.48216929221831184,0.3346287822607676,4.422553245882628,-2.8635333333333333,0.06430899999999999,510.9867637013012
FR40_EUR,packet_b,6,14,14,0.2916666666666667,0.20179999999999998,167.13894444444443,-1.1666666666666667,-212.931262,16730.984444444442
GBP_JPY,packet_b,6,123,123,0.3298696401637578,-0.06476371785893846,0.9782856576160488,-5.168566666666666,-5.241129000000001,106.09037986865795
GBP_USD,packet_c,6,126,126,0.3577276387058996,0.1746572404296589,1.6392379738044092,-3.6794166666666666,0.038463,235.6566594019239
JP225_USD,packet_b,6,3,3,0.16666666666666666,0.7355999999999999,166.5,0.0,-218.47581100000002,16688.28
LTC_USD,packet_d,6,122,122,0.18558892088303855,-0.3342688258432744,0.37293258090173653,-6.165033333333334,-105.871445,31.57981679800993
NAS100_USD,base,6,1,1,0.16666666666666666,2.11355,166.5,0.0,457.6,16756.1775
NZD_USD,packet_c,6,135,135,0.3349659137159137,-0.039543628535816035,0.9202246930619381,-4.485366666666667,-0.037904999999999994,107.54528787940302
SPX500_USD,packet_d,6,37,37,0.19722222222222222,-0.4328183333333333,0.4049082905841939,-3.3497,-328.71711700000003,-12.650087608247276
UK100_GBP,base,6,18,18,0.4305555555555555,1.7021458333333335,5.897614175439858,-0.8212833333333335,786.685378,683.8687092106525
US30_USD,packet_b,6,7,7,0.05555555555555555,-0.47490555555555564,0.27973333333333333,-0.3333333333333333,34.474038000000036,-42.27194444444445
USD_CAD,packet_c,6,127,127,0.3234048180588069,-0.08804578452732702,0.7909035335759387,-4.9679166666666665,-0.04212500000000001,88.18806413122752
USD_CHF,packet_c,6,145,145,0.2146696931935891,-0.2036901913405543,0.6365368928740821,-6.834166666666667,-0.068683,75.9691797203805
USD_JPY,base,6,97,97,0.38978684359119137,0.07504528514963298,1.497371081837161,-2.8168333333333333,5.923881999999999,201.98937244119776
WTICO_USD,base,6,123,123,0.41993570883731063,0.3355581795975446,2.1707672667227285,-3.6553166666666663,23.966804,295.3546356521501
XAG_USD,base,6,107,107,0.3901991526991527,0.3638008648758649,2.368502315762423,-2.7657166666666666,16.615541999999998,308.54027482003556
XAU_USD,packet_b,6,63,63,0.3301778752436647,0.25628864766081866,1.5021368573067913,-2.7744999999999997,257.54434299999997,194.52811811372004
