timestamp,open,high,low,close,volume
2020-01-01 22:00:00+00:00,121.82,122.04,121.731,121.948,1592.0
2020-01-02 02:00:00+00:00,121.946,121.994,121.795,121.847,878.0
2020-01-02 06:00:00+00:00,121.851,122.019,121.832,121.94,2247.0
2020-01-02 10:00:00+00:00,121.944,121.964,121.635,121.704,2012.0
2020-01-02 14:00:00+00:00,121.702,121.726,120.984,121.232,3719.0
2020-01-02 18:00:00+00:00,121.229,121.304,121.145,121.304,1122.0
2020-01-02 22:00:00+00:00,121.298,121.378,120.882,120.902,1513.0
2020-01-03 02:00:00+00:00,120.905,120.972,120.674,120.735,3433.0
2020-01-03 06:00:00+00:00,120.738,120.8,120.313,120.39,4105.0
2020-01-03 10:00:00+00:00,120.394,120.562,120.172,120.472,3411.0
2020-01-03 14:00:00+00:00,120.468,120.745,120.436,120.624,3962.0
2020-01-03 18:00:00+00:00,120.62,120.682,120.468,120.614,2056.0
2020-01-05 22:00:00+00:00,120.629,120.744,120.282,120.5,3304.0
2020-01-06 02:00:00+00:00,120.504,120.711,120.492,120.622,1184.0
2020-01-06 06:00:00+00:00,120.624,120.876,120.478,120.872,3292.0
2020-01-06 10:00:00+00:00,120.875,121.133,120.866,121.071,2290.0
2020-01-06 14:00:00+00:00,121.068,121.326,120.896,121.298,2534.0
2020-01-06 18:00:00+00:00,121.296,121.398,121.27,121.343,749.0
2020-01-06 22:00:00+00:00,121.266,121.434,121.232,121.375,1417.0
2020-01-07 02:00:00+00:00,121.372,121.448,121.264,121.264,910.0
2020-01-07 06:00:00+00:00,121.268,121.376,121.007,121.322,4130.0
2020-01-07 10:00:00+00:00,121.318,121.323,120.967,120.98,3245.0
2020-01-07 14:00:00+00:00,120.976,121.054,120.786,120.949,3360.0
2020-01-07 18:00:00+00:00,120.952,121.008,120.794,120.952,1074.0
2020-01-07 22:00:00+00:00,120.899,120.989,120.175,120.518,10205.0
2020-01-08 02:00:00+00:00,120.521,121.033,120.497,120.754,5843.0
2020-01-08 06:00:00+00:00,120.756,120.969,120.667,120.796,5021.0
2020-01-08 10:00:00+00:00,120.792,121.034,120.716,120.841,4266.0
2020-01-08 14:00:00+00:00,120.844,121.33,120.756,121.296,4692.0
2020-01-08 18:00:00+00:00,121.292,121.38,121.136,121.186,1873.0
2020-01-08 22:00:00+00:00,121.144,121.46,121.05,121.452,2343.0
2020-01-09 02:00:00+00:00,121.449,121.507,121.332,121.503,1010.0
2020-01-09 06:00:00+00:00,121.506,121.592,121.394,121.474,3514.0
2020-01-09 10:00:00+00:00,121.472,121.688,121.439,121.642,2827.0
2020-01-09 14:00:00+00:00,121.638,121.686,121.502,121.616,2727.0
2020-01-09 18:00:00+00:00,121.612,121.656,121.512,121.654,1031.0
2020-01-09 22:00:00+00:00,121.607,121.732,121.574,121.644,1506.0
2020-01-10 02:00:00+00:00,121.648,121.772,121.606,121.722,680.0
2020-01-10 06:00:00+00:00,121.724,121.762,121.542,121.672,1774.0
2020-01-10 10:00:00+00:00,121.668,121.775,121.524,121.686,2762.0
2020-01-10 14:00:00+00:00,121.683,121.832,121.544,121.774,2974.0
2020-01-10 18:00:00+00:00,121.777,121.839,121.746,121.76,631.0
2020-01-12 22:00:00+00:00,121.76,121.906,121.735,121.89,632.0
2020-01-13 02:00:00+00:00,121.887,122.05,121.872,122.024,453.0
2020-01-13 06:00:00+00:00,122.028,122.314,121.924,122.101,2244.0
2020-01-13 10:00:00+00:00,122.098,122.298,122.064,122.137,1743.0
2020-01-13 14:00:00+00:00,122.14,122.494,122.122,122.446,2288.0
