symbol,market_family,parameter_set_id,opening_window_variant,bar_timeframe,data_start,data_end,years_covered,num_signals,num_trades,trades_per_year,trades_per_month,approx_trades_per_day,win_rate_pct,profit_factor,avg_R_per_trade,gross_R,max_drawdown_R,positive_years,years_tested,robustness_score,killzone_only,vectorized_replay_aligned,meets_frequency_goal,meets_quality_bar
US30_USD,indices,flow_open_0935_fast_on,open_0935_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,94,69,21.284997492690678,1.7737497910575566,0.08446427576464555,44.93,0.9872577185854712,-0.0929461222235601,-6.413282433425646,-10.54693826555981,3,4,3.1864,True,True,False,False
US30_USD,indices,flow_open_0945_fast_on,open_0945_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,64,43,13.264563654865206,1.1053803045721005,0.05263715736057622,48.84,1.248029433135805,-0.0251207326918185,-1.0801915057481957,-7.005065540874945,2,4,1.8921,True,True,False,False
US30_USD,indices,flow_open_0945_fast_off,open_0945_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,213,71,21.90195394175418,1.825162828479515,0.08691251564188167,45.07,0.8401369968582442,-0.1030647587118992,-7.317597868544843,-11.63361424827035,1,4,1.0692,False,True,False,False
US30_USD,indices,flow_open_0930_fast_on,open_0930_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,99,70,21.59347571722243,1.7994563097685357,0.0856883957032636,41.43,0.9156197128386698,-0.1357950648755204,-9.505654541286429,-12.900440380510306,1,4,1.0657,True,True,False,False
US30_USD,indices,flow_open_0930_bal_off,open_0930_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,56,29,8.94586851142072,0.7454890426183933,0.03549947821992349,3.45,0.0192410168821586,-0.5794525814172947,-16.804124861101545,-16.177542310996383,0,4,0.0,False,True,False,False
US30_USD,indices,flow_open_0930_bal_on,open_0930_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,38,24,7.403477388761975,0.6169564490634979,0.029378878526833234,4.17,0.0237437183693293,-0.5894893934184556,-14.147745442042936,-13.521162891937774,0,4,0.0,True,True,False,False
US30_USD,indices,flow_open_0930_fast_off,open_0930_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,248,96,29.6139095550479,2.4678257962539916,0.11751551410733294,41.67,0.7751326495430668,-0.147657375341256,-14.175108032760576,-17.23666657477084,0,4,0.0,False,True,False,False
US30_USD,indices,flow_open_0935_bal_off,open_0935_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,53,26,8.020433837825474,0.6683694864854561,0.03182711840406934,3.85,0.0218013998747139,-0.5696455878145221,-14.810785283177575,-14.184202733072416,0,4,0.0,False,True,False,False
US30_USD,indices,flow_open_0935_bal_on,open_0935_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,35,21,6.478042715166729,0.5398368929305607,0.025706518710979082,4.76,0.0277679728986303,-0.5787812316247127,-12.154405864118967,-11.527823314013803,0,4,0.0,True,True,False,False
US30_USD,indices,flow_open_0935_fast_off,open_0935_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,243,95,29.305431330516154,2.442119277543013,0.1162913941687149,44.21,0.8164331033129384,-0.1166603781568399,-11.08273592489979,-14.883164459820344,0,4,0.0,False,True,False,False
US30_USD,indices,flow_open_0945_bal_off,open_0945_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,43,19,5.86108626610323,0.4884238555086025,0.023258278833742978,5.26,0.0313014378545048,-0.5581039134378812,-10.603974355319744,-10.222120956455582,0,4,0.0,False,True,False,False
US30_USD,indices,flow_open_0945_bal_on,open_0945_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,25,14,4.318695143444486,0.35989126195370713,0.01713767914065272,7.14,0.0452662551202887,-0.5676853525900808,-7.947594936261131,-7.56574153739697,0,4,0.0,True,True,False,False
US30_USD,indices,flow_open_1000_bal_off,open_1000_1100,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,21,8,2.467825796253992,0.20565214968783266,0.009792959508944413,0.0,0.0,-0.6738901179201758,-5.391120943361407,-4.819746072578576,0,4,0.0,False,True,False,False
US30_USD,indices,flow_open_1000_bal_on,open_1000_1100,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,True,True,False,False
US30_USD,indices,flow_open_1000_fast_off,open_1000_1100,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,250,86,26.529127309730413,2.210760609144201,0.10527431472115244,38.37,0.4521648699797792,-0.2034922246110749,-17.500331316552444,-18.65711153729813,0,4,0.0,False,True,False,False
US30_USD,indices,flow_open_1000_fast_on,open_1000_1100,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,True,True,False,False
