symbol,market_family,parameter_set_id,bar_timeframe,data_start,data_end,years_covered,num_signals,num_trades,trades_per_year,trades_per_month,approx_trades_per_day,win_rate_pct,profit_factor,avg_R_per_trade,gross_R,max_drawdown_R,positive_years,years_tested,robustness_score,killzone_only,vectorized_replay_aligned,meets_frequency_goal,meets_quality_bar
US30_USD,indices,idx_looser_ext_off,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,False,True,False,False
US30_USD,indices,idx_looser_ext_on,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,True,True,False,False
US30_USD,indices,idx_ps07_baseline_off,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,False,True,False,False
US30_USD,indices,idx_ps07_baseline_on,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,True,True,False,False
US30_USD,indices,idx_tighter_stop_off,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,False,True,False,False
US30_USD,indices,idx_tighter_stop_on,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,True,True,False,False
US30_USD,indices,idx_wider_stop_off,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,False,True,False,False
US30_USD,indices,idx_wider_stop_on,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,True,True,False,False
WTICO_USD,metals,met_balanced_off,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,8,8,2.467840270263137,0.20565335585526143,0.009793016945488639,62.5,0.3803761242845501,-0.071238601823708,-0.569908814589664,-1.2,1,4,0.5493,False,True,False,False
WTICO_USD,metals,met_balanced_on,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,8,8,2.467840270263137,0.20565335585526143,0.009793016945488639,62.5,0.3803761242845501,-0.071238601823708,-0.569908814589664,-1.2,1,4,0.5493,True,True,False,False
