symbol,parameter_set_id,vectorized_num_trades,replay_num_trades,trade_count_gap_pct,vectorized_profit_factor,replay_profit_factor,vectorized_avg_R,replay_avg_R,likely_mismatch_driver,notes
NAS100_USD,flow_balanced_off,49,49,0.0,1.4658875631927268,1.4658875631927268,0.03800207221567244,0.03800207221567244,aligned,Counts and average R are closely aligned on M5.
NAS100_USD,flow_balanced_on,31,31,0.0,0.7290289748761962,0.7290289748761962,-0.14588060012377554,-0.14588060012377554,aligned,Counts and average R are closely aligned on M5.
NAS100_USD,flow_faster_off,312,312,0.0,1.009823100882064,1.009823100882064,0.010047254193468238,0.010047254193468238,aligned,Counts and average R are closely aligned on M5.
NAS100_USD,flow_faster_on,144,144,0.0,1.064999473236851,1.064999473236851,0.024761986571899198,0.024761986571899198,aligned,Counts and average R are closely aligned on M5.
NAS100_USD,flow_session_push_off,1185,1185,0.0,0.9580464534412053,0.9580464534412053,-0.01331965856320019,-0.01331965856320019,aligned,Counts and average R are closely aligned on M5.
NAS100_USD,flow_session_push_on,652,652,0.0,1.069417447524149,1.069417447524149,-0.0010859159833144507,-0.0010859159833144507,aligned,Counts and average R are closely aligned on M5.
NAS100_USD,flow_tighter_stop_off,23,23,0.0,0.5976254677199039,0.5976254677199039,-0.10913348083797002,-0.10913348083797002,aligned,Counts and average R are closely aligned on M5.
NAS100_USD,flow_tighter_stop_on,16,16,0.0,0.46785771033605544,0.46785771033605544,-0.13494173807923146,-0.13494173807923146,aligned,Counts and average R are closely aligned on M5.
NAS100_USD,flow_trendier_off,4,4,0.0,0.02247191011236047,0.02247191011236047,-0.34409887506054726,-0.34409887506054726,aligned,Counts and average R are closely aligned on M5.
NAS100_USD,flow_trendier_on,4,4,0.0,0.02247191011236047,0.02247191011236047,-0.34409887506054726,-0.34409887506054726,aligned,Counts and average R are closely aligned on M5.
NAS100_USD,flow_wider_targets_off,92,92,0.0,2.1846942965420806,2.1846942965420806,0.12866977989913925,0.12866977989913925,aligned,Counts and average R are closely aligned on M5.
NAS100_USD,flow_wider_targets_on,56,56,0.0,1.1803324539935598,1.1803324539935598,-0.01826634985248826,-0.01826634985248826,aligned,Counts and average R are closely aligned on M5.
US30_USD,flow_balanced_off,45,45,0.0,0.7245201829831662,0.7245201829831662,-0.07997391046520361,-0.07997391046520361,aligned,Counts and average R are closely aligned on M5.
US30_USD,flow_balanced_on,31,31,0.0,1.1692281609533506,1.1692281609533506,-0.04686631933103351,-0.04686631933103351,aligned,Counts and average R are closely aligned on M5.
US30_USD,flow_faster_off,309,309,0.0,1.06273466796919,1.06273466796919,0.01578433528236397,0.01578433528236397,aligned,Counts and average R are closely aligned on M5.
US30_USD,flow_faster_on,184,184,0.0,1.385704882244581,1.385704882244581,0.038323157855313005,0.038323157855313005,aligned,Counts and average R are closely aligned on M5.
US30_USD,flow_session_push_off,1252,1252,0.0,0.827169403393146,0.827169403393146,-0.05816722153090037,-0.05816722153090037,aligned,Counts and average R are closely aligned on M5.
US30_USD,flow_session_push_on,762,762,0.0,0.8983557247213574,0.8983557247213574,-0.06229778504715828,-0.06229778504715828,aligned,Counts and average R are closely aligned on M5.
US30_USD,flow_tighter_stop_off,12,12,0.0,0.503905688720553,0.503905688720553,-0.2067892980094098,-0.2067892980094098,aligned,Counts and average R are closely aligned on M5.
US30_USD,flow_tighter_stop_on,9,9,0.0,2.497608300545286,2.497608300545286,0.02461946214407187,0.02461946214407187,aligned,Counts and average R are closely aligned on M5.
US30_USD,flow_trendier_off,3,3,0.0,5.045191247796568,5.045191247796568,0.8213623877824117,0.8213623877824117,aligned,Counts and average R are closely aligned on M5.
US30_USD,flow_trendier_on,2,2,0.0,,,1.3805155754468186,1.3805155754468186,aligned,Counts and average R are closely aligned on M5.
US30_USD,flow_wider_targets_off,84,84,0.0,0.7213085357425332,0.7213085357425332,-0.012936756890596365,-0.012936756890596365,aligned,Counts and average R are closely aligned on M5.
US30_USD,flow_wider_targets_on,61,61,0.0,1.0371425706263337,1.0371425706263337,0.02850788745274051,0.02850788745274051,aligned,Counts and average R are closely aligned on M5.
