symbol,parameter_set_id,year,bar_timeframe,trades_per_year,win_rate_pct,profit_factor,max_drawdown_R,avg_R_per_trade,total_R,positive_year
SPX500_USD,idx_wider_stop_on,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
SPX500_USD,idx_wider_stop_on,2024,M5,0,0.0,0.0,0.0,0.0,0.0,False
SPX500_USD,idx_wider_stop_on,2025,M5,0,0.0,0.0,0.0,0.0,0.0,False
SPX500_USD,idx_wider_stop_on,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_looser_ext_off,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_looser_ext_off,2024,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_looser_ext_off,2025,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_looser_ext_off,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_looser_ext_on,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_looser_ext_on,2024,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_looser_ext_on,2025,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_looser_ext_on,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_ps07_baseline_off,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_ps07_baseline_off,2024,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_ps07_baseline_off,2025,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_ps07_baseline_off,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_ps07_baseline_on,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_ps07_baseline_on,2024,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_ps07_baseline_on,2025,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_ps07_baseline_on,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_tighter_stop_off,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_tighter_stop_off,2024,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_tighter_stop_off,2025,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_tighter_stop_off,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_tighter_stop_on,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_tighter_stop_on,2024,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_tighter_stop_on,2025,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_tighter_stop_on,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_wider_stop_off,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_wider_stop_off,2024,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_wider_stop_off,2025,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_wider_stop_off,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_wider_stop_on,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_wider_stop_on,2024,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_wider_stop_on,2025,M5,0,0.0,0.0,0.0,0.0,0.0,False
UK100_GBP,idx_wider_stop_on,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_looser_ext_off,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_looser_ext_off,2024,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_looser_ext_off,2025,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_looser_ext_off,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_looser_ext_on,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_looser_ext_on,2024,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_looser_ext_on,2025,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_looser_ext_on,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_ps07_baseline_off,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_ps07_baseline_off,2024,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_ps07_baseline_off,2025,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_ps07_baseline_off,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_ps07_baseline_on,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_ps07_baseline_on,2024,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_ps07_baseline_on,2025,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_ps07_baseline_on,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
US30_USD,idx_tighter_stop_off,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
