symbol,parameter_set_id,year,bar_timeframe,trades_per_year,win_rate_pct,profit_factor,max_drawdown_R,avg_R_per_trade,total_R,positive_year
NAS100_USD,flow_open_0945_fast_off,2023,M5,32,25.0,0.3268566694283334,-10.641549733258474,-0.3384850523044375,-10.831521673742,False
NAS100_USD,flow_open_0945_fast_off,2024,M5,28,32.14,0.6624562968599389,-6.95039011883061,-0.21211558256894478,-5.939236311930454,False
NAS100_USD,flow_open_0945_fast_off,2025,M5,21,38.1,0.5238829391845464,-2.7507584705329515,-0.14816248735278553,-3.1114122344084962,False
NAS100_USD,flow_open_0945_fast_off,2026,M5,1,100.0,,0.0,0.9000000000000031,0.9000000000000031,True
NAS100_USD,flow_open_0945_fast_on,2023,M5,19,31.58,0.3470335057515641,-5.325323000391755,-0.31435571471361246,-5.972758579558636,False
NAS100_USD,flow_open_0945_fast_on,2024,M5,11,27.27,0.7076121949932304,-1.8728934218925481,-0.2225701368559382,-2.4482715054153203,False
NAS100_USD,flow_open_0945_fast_on,2025,M5,12,41.67,0.6272181497835747,-2.06560657240981,-0.05367172470875681,-0.6440606965050817,False
NAS100_USD,flow_open_0945_fast_on,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
NAS100_USD,flow_open_1000_bal_off,2023,M5,6,0.0,0.0,-2.8205102333407996,-0.5568407146267087,-3.341044287760252,False
NAS100_USD,flow_open_1000_bal_off,2024,M5,6,33.33,1.1290250528359174,-1.563921949639676,0.02049000511520808,0.12294003069124848,True
NAS100_USD,flow_open_1000_bal_off,2025,M5,1,100.0,,0.0,1.45,1.45,True
NAS100_USD,flow_open_1000_bal_off,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
NAS100_USD,flow_open_1000_bal_on,2023,M5,0,0.0,0.0,0.0,0.0,0.0,False
NAS100_USD,flow_open_1000_bal_on,2024,M5,0,0.0,0.0,0.0,0.0,0.0,False
NAS100_USD,flow_open_1000_bal_on,2025,M5,0,0.0,0.0,0.0,0.0,0.0,False
NAS100_USD,flow_open_1000_bal_on,2026,M5,0,0.0,0.0,0.0,0.0,0.0,False
NAS100_USD,flow_open_1000_fast_off,2023,M5,45,26.67,0.34975848333944565,-13.834078842979185,-0.2807994574904628,-12.635975587070828,False
