symbol,parameter_set_id,years_covered,positive_years,worst_year_profit_factor,average_yearly_R,total_trades,overall_profit_factor,overall_avg_R,robustness_score
NAS100_USD,flow_open_0935_fast_on,4,2,0.4352057205106016,-0.05067163745426417,72,0.8129898699189375,-0.11408472107936839,2.1452
NAS100_USD,flow_open_1000_bal_off,4,2,0.0,0.22841232262212482,13,0.9023822674842823,-0.1360080197745387,1.3195
NAS100_USD,flow_open_0930_fast_off,4,1,0.4762456102748427,-0.10070015992709913,124,0.6935783000649679,-0.14647150469546955,1.2071
NAS100_USD,flow_open_1000_fast_off,4,1,0.34975848333944565,-0.08937293453137678,119,0.47683142368443476,-0.22961481622982985,1.1969
NAS100_USD,flow_open_0935_fast_off,4,1,0.38770611430902363,-0.027334445773311525,111,0.7130416354893284,-0.15777281834900114,1.1796
NAS100_USD,flow_open_0945_fast_off,4,1,0.0,0.05030921944345884,82,0.5375157427771234,-0.2314898807326945,1.1047
NAS100_USD,flow_open_0945_bal_on,4,1,0.0,-0.42357600311621013,8,0.3045712168048502,-0.37403591184112495,0.5493
NAS100_USD,flow_open_0930_fast_on,4,0,0.544748784767737,-0.1253206268336443,86,0.7677423995608863,-0.09957887980480952,0.0
NAS100_USD,flow_open_0945_fast_on,4,0,0.0,-0.14764939406957686,42,0.5302975678748741,-0.21583549479711994,0.0
NAS100_USD,flow_open_0935_bal_on,4,0,0.0,-0.2589990982684558,21,0.41672520911598115,-0.2097256353602699,0.0
NAS100_USD,flow_open_0930_bal_on,4,0,0.0,-0.27358711996386464,20,0.36293025738239904,-0.21324828683069336,0.0
NAS100_USD,flow_open_0935_bal_off,4,0,0.0,-0.30396035666240095,26,0.2759173578313542,-0.2911539433905125,0.0
NAS100_USD,flow_open_0930_bal_off,4,0,0.0,-0.31581701692504127,25,0.23959116721324183,-0.297229196888061,0.0
NAS100_USD,flow_open_0945_bal_off,4,0,0.0,-0.4578688558035386,14,0.15779526431197774,-0.4801409592825952,0.0
NAS100_USD,flow_open_1000_bal_on,4,0,0.0,0.0,0,0.0,0.0,0.0
NAS100_USD,flow_open_1000_fast_on,4,0,0.0,0.0,0,0.0,0.0,0.0
US30_USD,flow_open_0935_fast_on,4,3,0.40443777212935467,-0.09337925405473188,69,0.9872577185854711,-0.09294612222356019,3.1864
US30_USD,flow_open_0945_fast_on,4,2,0.564256368118312,-0.09497442397300479,43,1.248029433135805,-0.025120732691818515,1.8921
US30_USD,flow_open_0945_fast_off,4,1,0.5943944392082853,-0.13308278548616978,71,0.8401369968582442,-0.10306475871189927,1.0692
US30_USD,flow_open_0930_fast_on,4,1,0.3940228517678396,-0.1140175081266153,70,0.9156197128386698,-0.13579506487552048,1.0657
US30_USD,flow_open_0935_fast_off,4,0,0.4758844752594104,-0.1220581186560053,95,0.8164331033129384,-0.11666037815683994,0.0
US30_USD,flow_open_0930_fast_off,4,0,0.4621439890591758,-0.13967202251006983,96,0.7751326495430668,-0.147657375341256,0.0
US30_USD,flow_open_1000_fast_off,4,0,0.22768607568471688,-0.20432523213588605,86,0.4521648699797792,-0.20349222461107494,0.0
US30_USD,flow_open_0945_bal_on,4,0,0.0,-0.5769251707157212,14,0.045266255120288736,-0.5676853525900808,0.0
US30_USD,flow_open_0945_bal_off,4,0,0.0,-0.5675051168279858,19,0.031301437854504885,-0.5581039134378812,0.0
US30_USD,flow_open_0935_bal_on,4,0,0.0,-0.5662279749525835,21,0.027767972898630332,-0.5787812316247127,0.0
US30_USD,flow_open_0930_bal_on,4,0,0.0,-0.5734354339465628,24,0.023743718369329335,-0.5894893934184556,0.0
US30_USD,flow_open_0935_bal_off,4,0,0.0,-0.5641917980525147,26,0.02180139987471399,-0.5696455878145221,0.0
US30_USD,flow_open_0930_bal_off,4,0,0.0,-0.5714020382297831,29,0.01924101688215869,-0.5794525814172947,0.0
US30_USD,flow_open_1000_bal_off,4,0,0.0,-0.6011738613367623,8,0.0,-0.6738901179201758,0.0
US30_USD,flow_open_1000_bal_on,4,0,0.0,0.0,0,0.0,0.0,0.0
US30_USD,flow_open_1000_fast_on,4,0,0.0,0.0,0,0.0,0.0,0.0
