symbol,parameter_set_id,data_start,data_end,years_covered,replay_data_start,replay_data_end,bar_timeframe,num_trading_days,num_bars_used,killzone_only,num_signals,num_trades,win_rate_pct,profit_factor,avg_R_per_trade,avg_trade_duration_min,max_drawdown_R,vectorized_vs_replay_PnL_diff_pct,vectorized_num_signals,vectorized_num_trades,vectorized_win_rate_pct,vectorized_profit_factor,vectorized_avg_R_per_trade,vectorized_avg_trade_duration_min,vectorized_max_drawdown_R,vectorized_total_pnl_points,replay_num_signals,replay_num_trades,replay_win_rate_pct,replay_profit_factor,replay_avg_R_per_trade,replay_avg_trade_duration_min,replay_max_drawdown_R,replay_total_pnl_points,vectorized_trade_frequency_per_month,replay_trade_frequency_per_month
NAS100_USD,flow_balanced_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229464,False,50,49,44.9,1.4658875631927268,0.03800207221567244,40.30612244897959,-6.205196994725148,0.0,50,49,44.9,1.4658875631927268,0.03800207221567244,40.30612244897959,-6.205196994725148,278.7721428571422,50,49,44.9,1.4658875631927268,0.03800207221567244,40.30612244897959,-6.205196994725148,278.7721428571422,1.259619416837975,1.259619416837975
NAS100_USD,flow_balanced_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229464,True,31,31,35.48,0.7290289748761962,-0.14588060012377554,38.70967741935484,-5.436466487427597,0.0,31,31,35.48,0.7290289748761962,-0.14588060012377554,38.70967741935484,-5.436466487427597,-105.54321428572258,31,31,35.48,0.7290289748761962,-0.14588060012377554,38.70967741935484,-5.436466487427597,-105.54321428572258,0.7969020800403516,0.7969020800403516
NAS100_USD,flow_faster_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229464,False,344,312,46.15,1.009823100882064,0.010047254193468238,37.32371794871795,-15.078939086433902,0.0,344,312,46.15,1.009823100882064,0.010047254193468238,37.32371794871795,-15.078939086433902,60.99487500002556,344,312,46.15,1.009823100882064,0.010047254193468238,37.32371794871795,-15.078939086433902,60.99487500002556,8.020433837825474,8.020433837825474
NAS100_USD,flow_faster_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229464,True,145,144,46.53,1.064999473236851,0.024761986571899198,31.73611111111111,-6.442920628688961,0.0,145,144,46.53,1.064999473236851,0.024761986571899198,31.73611111111111,-6.442920628688961,145.64912500001196,145,144,46.53,1.064999473236851,0.024761986571899198,31.73611111111111,-6.442920628688961,145.64912500001196,3.701738694380988,3.701738694380988
NAS100_USD,flow_session_push_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229464,False,1554,1185,49.79,0.9580464534412053,-0.01331965856320019,30.69198312236287,-36.46895216129839,0.0,1554,1185,49.79,0.9580464534412053,-0.01331965856320019,30.69198312236287,-36.46895216129839,-820.521035714234,1554,1185,49.79,0.9580464534412053,-0.01331965856320019,30.69198312236287,-36.46895216129839,-820.521035714234,30.462224672510214,30.462224672510214
NAS100_USD,flow_session_push_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229464,True,737,652,52.76,1.069417447524149,-0.0010859159833144507,29.700920245398773,-25.104555003725004,0.0,737,652,52.76,1.069417447524149,-0.0010859159833144507,29.700920245398773,-25.104555003725004,561.9766071429194,737,652,52.76,1.069417447524149,-0.0010859159833144507,29.700920245398773,-25.104555003725004,561.9766071429194,16.760650199558363,16.760650199558363
NAS100_USD,flow_tighter_stop_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229464,False,23,23,52.17,0.5976254677199039,-0.10913348083797002,27.391304347826086,-5.050212069331844,0.0,23,23,52.17,0.5976254677199039,-0.10913348083797002,27.391304347826086,-5.050212069331844,-120.97821428571444,23,23,52.17,0.5976254677199039,-0.10913348083797002,27.391304347826086,-5.050212069331844,-120.97821428571444,0.5912499303525189,0.5912499303525189
NAS100_USD,flow_tighter_stop_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229464,True,16,16,56.25,0.46785771033605544,-0.13494173807923146,25.625,-3.0506426827419575,0.0,16,16,56.25,0.46785771033605544,-0.13494173807923146,25.625,-3.0506426827419575,-95.68678571428718,16,16,56.25,0.46785771033605544,-0.13494173807923146,25.625,-3.0506426827419575,-95.68678571428718,0.4113042993756653,0.4113042993756653
NAS100_USD,flow_trendier_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229464,False,4,4,25.0,0.02247191011236047,-0.34409887506054726,65.0,-0.8744575157460932,0.0,4,4,25.0,0.02247191011236047,-0.34409887506054726,65.0,-0.8744575157460932,-43.49999999999818,4,4,25.0,0.02247191011236047,-0.34409887506054726,65.0,-0.8744575157460932,-43.49999999999818,0.10282607484391633,0.10282607484391633
NAS100_USD,flow_trendier_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229464,True,4,4,25.0,0.02247191011236047,-0.34409887506054726,65.0,-0.8744575157460932,0.0,4,4,25.0,0.02247191011236047,-0.34409887506054726,65.0,-0.8744575157460932,-43.49999999999818,4,4,25.0,0.02247191011236047,-0.34409887506054726,65.0,-0.8744575157460932,-43.49999999999818,0.10282607484391633,0.10282607484391633
