symbol,parameter_set_id,years_covered,positive_years,worst_year_profit_factor,average_yearly_R,total_trades,overall_profit_factor,overall_avg_R,robustness_score
NAS100_USD,flow_session_push_on,4,3,0.6956908870018471,0.07851552744582568,652,1.069417447524149,-0.0010859159833144507,4.8612
NAS100_USD,flow_wider_targets_off,4,4,0.0,0.23062124828965472,92,2.1846942965420806,0.12866977989913925,4.5326
NAS100_USD,flow_faster_off,4,3,0.869820092564589,0.0753685154142994,312,1.009823100882064,0.010047254193468238,4.3097
NAS100_USD,flow_faster_on,4,3,0.7922373512062098,0.0717467094335899,144,1.064999473236851,0.024761986571899198,3.7326
NAS100_USD,flow_session_push_off,4,2,0.8592505075246721,-0.00025881520849501544,1185,0.9580464534412053,-0.01331965856320019,3.5392
NAS100_USD,flow_balanced_off,4,2,0.0,0.15119378700548974,49,1.4658875631927268,0.03800207221567244,1.956
NAS100_USD,flow_tighter_stop_off,4,2,0.0,0.04743656515353839,23,0.5976254677199039,-0.10913348083797002,1.589
NAS100_USD,flow_wider_targets_on,4,1,0.0,0.023095604896702197,56,1.1803324539935598,-0.01826634985248826,1.0108
NAS100_USD,flow_balanced_on,4,1,0.0,-0.07138268711421478,31,0.7290289748761962,-0.14588060012377554,0.8664
NAS100_USD,flow_tighter_stop_on,4,0,0.0,-0.05318940005959577,16,0.46785771033605544,-0.13494173807923146,0.0
NAS100_USD,flow_trendier_off,4,0,0.0,-0.21163580830566148,4,0.02247191011236047,-0.34409887506054726,0.0
NAS100_USD,flow_trendier_on,4,0,0.0,-0.21163580830566148,4,0.02247191011236047,-0.34409887506054726,0.0
US30_USD,flow_faster_off,4,3,0.7843395400746135,0.011519920397381747,309,1.06273466796919,0.01578433528236397,4.3024
US30_USD,flow_faster_on,4,3,0.8532138581894605,0.043876420824068,184,1.385704882244581,0.038323157855313005,3.9153
US30_USD,flow_wider_targets_off,4,2,0.0,-0.10773690449935383,84,0.7213085357425332,-0.012936756890596365,2.2213
US30_USD,flow_wider_targets_on,4,2,0.0,-0.06370414175823146,61,1.0371425706263337,0.02850788745274051,2.0636
US30_USD,flow_tighter_stop_on,4,2,0.0,0.10774542463149897,9,2.497608300545286,0.02461946214407187,1.1513
US30_USD,flow_balanced_off,4,1,0.0,-0.23298868274234097,45,0.7245201829831662,-0.07997391046520361,0.9572
US30_USD,flow_balanced_on,4,1,0.0,-0.024022956945700606,31,1.1692281609533506,-0.04686631933103351,0.8664
US30_USD,flow_trendier_off,4,2,0.0,0.48926089541840595,3,5.045191247796568,0.8213623877824117,0.6931
US30_USD,flow_tighter_stop_off,4,1,0.0,-0.12032357880564586,12,0.503905688720553,-0.2067892980094098,0.6412
US30_USD,flow_trendier_on,4,1,0.0,0.34512889386170464,2,,1.3805155754468186,0.2747
US30_USD,flow_session_push_on,4,0,0.8198909049744268,-0.07538900853774722,762,0.8983557247213574,-0.06229778504715828,0.0
US30_USD,flow_session_push_off,4,0,0.7671273697580153,-0.05816117316156482,1252,0.827169403393146,-0.05816722153090037,0.0
