symbol,parameter_set_id,data_start,data_end,years_covered,replay_data_start,replay_data_end,bar_timeframe,opening_window_variant,num_trading_days,num_bars_used,killzone_only,num_signals,num_trades,win_rate_pct,profit_factor,avg_R_per_trade,avg_trade_duration_min,max_drawdown_R,vectorized_vs_replay_PnL_diff_pct,vectorized_num_signals,vectorized_num_trades,vectorized_win_rate_pct,vectorized_profit_factor,vectorized_avg_R_per_trade,vectorized_avg_trade_duration_min,vectorized_max_drawdown_R,vectorized_total_pnl_points,replay_num_signals,replay_num_trades,replay_win_rate_pct,replay_profit_factor,replay_avg_R_per_trade,replay_avg_trade_duration_min,replay_max_drawdown_R,replay_total_pnl_points,vectorized_trade_frequency_per_month,replay_trade_frequency_per_month
NAS100_USD,flow_open_0930_bal_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0930_1030,1615,229464,False,69,25,20.0,0.23959116721324183,-0.297229196888061,14.8,-9.28072992220153,0.0,69,25,20.0,0.23959116721324183,-0.297229196888061,14.8,-9.28072992220153,-460.9223571428647,69,25,20.0,0.23959116721324183,-0.297229196888061,14.8,-9.28072992220153,-460.9223571428647,0.6426629677744771,0.6426629677744771
NAS100_USD,flow_open_0930_bal_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0930_1030,1615,229464,True,38,20,25.0,0.36293025738239904,-0.21324828683069336,17.25,-6.114965736613874,0.0,38,20,25.0,0.36293025738239904,-0.21324828683069336,17.25,-6.114965736613874,-254.92664285715,38,20,25.0,0.36293025738239904,-0.21324828683069336,17.25,-6.114965736613874,-254.92664285715,0.5141303742195816,0.5141303742195816
NAS100_USD,flow_open_0930_fast_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0930_1030,1615,229464,False,290,124,35.48,0.6935783000649679,-0.14647150469546955,11.814516129032258,-19.573873333136337,0.0,290,124,35.48,0.6935783000649679,-0.14647150469546955,11.814516129032258,-19.573873333136337,-1032.968999999985,290,124,35.48,0.6935783000649679,-0.14647150469546955,11.814516129032258,-19.573873333136337,-1032.968999999985,3.1876083201614063,3.1876083201614063
NAS100_USD,flow_open_0930_fast_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0930_1030,1615,229464,True,117,86,38.37,0.7677423995608863,-0.09957887980480952,14.011627906976743,-9.565620280318168,0.0,117,86,38.37,0.7677423995608863,-0.09957887980480952,14.011627906976743,-9.565620280318168,-524.6884999999916,117,86,38.37,0.7677423995608863,-0.09957887980480952,14.011627906976743,-9.565620280318168,-524.6884999999916,2.210760609144201,2.210760609144201
NAS100_USD,flow_open_0935_bal_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0935_1030,1615,229464,False,65,26,23.08,0.2759173578313542,-0.2911539433905125,13.846153846153847,-9.420002528153331,0.0,65,26,23.08,0.2759173578313542,-0.2911539433905125,13.846153846153847,-9.420002528153331,-441.43750000000693,65,26,23.08,0.2759173578313542,-0.2911539433905125,13.846153846153847,-9.420002528153331,-441.43750000000693,0.6683694864854561,0.6683694864854561
NAS100_USD,flow_open_0935_bal_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0935_1030,1615,229464,True,34,21,28.57,0.41672520911598115,-0.2097256353602699,15.952380952380953,-6.254238342565674,0.0,34,21,28.57,0.41672520911598115,-0.2097256353602699,15.952380952380953,-6.254238342565674,-235.4417857142922,34,21,28.57,0.41672520911598115,-0.2097256353602699,15.952380952380953,-6.254238342565674,-235.4417857142922,0.5398368929305607,0.5398368929305607
NAS100_USD,flow_open_0935_fast_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0935_1030,1615,229464,False,272,111,35.14,0.7130416354893284,-0.15777281834900114,10.945945945945946,-20.65601378027869,0.0,272,111,35.14,0.7130416354893284,-0.15777281834900114,10.945945945945946,-20.65601378027869,-822.6134999999804,272,111,35.14,0.7130416354893284,-0.15777281834900114,10.945945945945946,-20.65601378027869,-822.6134999999804,2.8534235769186784,2.8534235769186784
NAS100_USD,flow_open_0935_fast_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0935_1030,1615,229464,True,99,72,37.5,0.8129898699189375,-0.11408472107936839,13.125,-10.626688841419499,0.0,99,72,37.5,0.8129898699189375,-0.11408472107936839,13.125,-10.626688841419499,-328.1419999999863,99,72,37.5,0.8129898699189375,-0.11408472107936839,13.125,-10.626688841419499,-328.1419999999863,1.850869347190494,1.850869347190494
NAS100_USD,flow_open_0945_bal_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0945_1030,1615,229464,False,49,14,14.29,0.15779526431197774,-0.4801409592825952,7.5,-8.171973429956338,0.0,49,14,14.29,0.15779526431197774,-0.4801409592825952,7.5,-8.171973429956338,-394.7840714285729,49,14,14.29,0.15779526431197774,-0.4801409592825952,7.5,-8.171973429956338,-394.7840714285729,0.3598912619537072,0.3598912619537072
NAS100_USD,flow_open_0945_bal_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0945_1030,1615,229464,True,18,8,25.0,0.3045712168048502,-0.37403591184112495,8.75,-4.442287294729006,0.0,18,8,25.0,0.3045712168048502,-0.37403591184112495,8.75,-4.442287294729006,-168.88835714286034,18,8,25.0,0.3045712168048502,-0.37403591184112495,8.75,-4.442287294729006,-168.88835714286034,0.20565214968783266,0.20565214968783266
NAS100_USD,flow_open_0945_fast_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0945_1030,1615,229464,False,236,82,31.71,0.5375157427771234,-0.2314898807326945,9.817073170731707,-19.800315308181137,0.0,236,82,31.71,0.5375157427771234,-0.2314898807326945,9.817073170731707,-19.800315308181137,-1107.1664999999855,236,82,31.71,0.5375157427771234,-0.2314898807326945,9.817073170731707,-19.800315308181137,-1107.1664999999855,2.1079345343002847,2.1079345343002847
NAS100_USD,flow_open_0945_fast_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0945_1030,1615,229464,True,63,42,33.33,0.5302975678748741,-0.21583549479711994,12.5,-8.542365298266319,0.0,63,42,33.33,0.5302975678748741,-0.21583549479711994,12.5,-8.542365298266319,-592.7949999999939,63,42,33.33,0.5302975678748741,-0.21583549479711994,12.5,-8.542365298266319,-592.7949999999939,1.0796737858611214,1.0796737858611214
NAS100_USD,flow_open_1000_bal_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_1000_1100,1615,229464,False,39,13,23.08,0.9023822674842823,-0.1360080197745387,16.153846153846153,-5.055365235784307,0.0,39,13,23.08,0.9023822674842823,-0.1360080197745387,16.153846153846153,-5.055365235784307,-33.45317857142547,39,13,23.08,0.9023822674842823,-0.1360080197745387,16.153846153846153,-5.055365235784307,-33.45317857142547,0.33418474324272807,0.33418474324272807
NAS100_USD,flow_open_1000_bal_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_1000_1100,1615,229464,True,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAS100_USD,flow_open_1000_fast_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_1000_1100,1615,229464,False,331,119,33.61,0.47683142368443476,-0.22961481622982985,14.621848739495798,-29.71360057619844,0.0,331,119,33.61,0.47683142368443476,-0.22961481622982985,14.621848739495798,-29.71360057619844,-2112.0079999999984,331,119,33.61,0.47683142368443476,-0.22961481622982985,14.621848739495798,-29.71360057619844,-2112.0079999999984,3.059075726606511,3.059075726606511
NAS100_USD,flow_open_1000_fast_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_1000_1100,1615,229464,True,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US30_USD,flow_open_0930_bal_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0930_1030,1615,229386,False,56,29,3.45,0.01924101688215869,-0.5794525814172947,11.206896551724139,-16.177542310996383,0.0,56,29,3.45,0.01924101688215869,-0.5794525814172947,11.206896551724139,-16.177542310996383,-1942.5108571428507,56,29,3.45,0.01924101688215869,-0.5794525814172947,11.206896551724139,-16.177542310996383,-1942.5108571428507,0.7454890426183934,0.7454890426183934
US30_USD,flow_open_0930_bal_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0930_1030,1615,229386,True,38,24,4.17,0.023743718369329335,-0.5894893934184556,11.458333333333334,-13.521162891937774,0.0,38,24,4.17,0.023743718369329335,-0.5894893934184556,11.458333333333334,-13.521162891937774,-1566.9108571428594,38,24,4.17,0.023743718369329335,-0.5894893934184556,11.458333333333334,-13.521162891937774,-1566.9108571428594,0.616956449063498,0.616956449063498
US30_USD,flow_open_0930_fast_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0930_1030,1615,229386,False,248,96,41.67,0.7751326495430668,-0.147657375341256,13.072916666666666,-17.23666657477084,0.0,248,96,41.67,0.7751326495430668,-0.147657375341256,13.072916666666666,-17.23666657477084,-870.6965000000157,248,96,41.67,0.7751326495430668,-0.147657375341256,13.072916666666666,-17.23666657477084,-870.6965000000157,2.467825796253992,2.467825796253992
US30_USD,flow_open_0930_fast_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0930_1030,1615,229386,True,99,70,41.43,0.9156197128386698,-0.13579506487552048,14.571428571428571,-12.900440380510306,0.0,99,70,41.43,0.9156197128386698,-0.13579506487552048,14.571428571428571,-12.900440380510306,-229.1680000000213,99,70,41.43,0.9156197128386698,-0.13579506487552048,14.571428571428571,-12.900440380510306,-229.1680000000213,1.7994563097685359,1.7994563097685359
US30_USD,flow_open_0935_bal_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0935_1030,1615,229386,False,53,26,3.85,0.02180139987471399,-0.5696455878145221,11.923076923076923,-14.184202733072416,0.0,53,26,3.85,0.02180139987471399,-0.5696455878145221,11.923076923076923,-14.184202733072416,-1709.9044285714197,53,26,3.85,0.02180139987471399,-0.5696455878145221,11.923076923076923,-14.184202733072416,-1709.9044285714197,0.6683694864854561,0.6683694864854561
US30_USD,flow_open_0935_bal_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0935_1030,1615,229386,True,35,21,4.76,0.027767972898630332,-0.5787812316247127,12.380952380952381,-11.527823314013805,0.0,35,21,4.76,0.027767972898630332,-0.5787812316247127,12.380952380952381,-11.527823314013805,-1334.3044285714284,35,21,4.76,0.027767972898630332,-0.5787812316247127,12.380952380952381,-11.527823314013805,-1334.3044285714284,0.5398368929305607,0.5398368929305607
US30_USD,flow_open_0935_fast_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0935_1030,1615,229386,False,243,95,44.21,0.8164331033129384,-0.11666037815683994,13.210526315789474,-14.883164459820344,0.0,243,95,44.21,0.8164331033129384,-0.11666037815683994,13.210526315789474,-14.883164459820344,-673.5510000000329,243,95,44.21,0.8164331033129384,-0.11666037815683994,13.210526315789474,-14.883164459820344,-673.5510000000329,2.442119277543013,2.442119277543013
US30_USD,flow_open_0935_fast_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,open_0935_1030,1615,229386,True,94,69,44.93,0.9872577185854711,-0.09294612222356019,14.782608695652174,-10.54693826555981,0.0,94,69,44.93,0.9872577185854711,-0.09294612222356019,14.782608695652174,-10.54693826555981,-32.022500000038406,94,69,44.93,0.9872577185854711,-0.09294612222356019,14.782608695652174,-10.54693826555981,-32.022500000038406,1.7737497910575568,1.7737497910575568
