symbol,parameter_set_id,approx_trades_per_day,profit_factor,avg_R_per_trade,win_rate_pct,max_drawdown_R,robustness_score,meets_frequency_goal,meets_quality_bar,frequency_bucket
US30_USD,flow_session_push_off,1.5325981631498005,0.827169403393146,-0.0581672215309003,48.24,-75.75025494825255,0.0,True,False,< 1 trade/week
US30_USD,flow_session_push_on,0.9327793932269554,0.8983557247213574,-0.0622977850471582,48.29,-52.09560780252499,0.0,False,False,< 1 trade/week
NAS100_USD,flow_session_push_on,0.7981261999789695,1.069417447524149,-0.0010859159833144,52.76,-25.104555003725004,4.8612,False,False,< 1 trade/week
US30_USD,flow_faster_off,0.37825306103297796,1.06273466796919,0.0157843352823639,49.51,-12.07038038307713,4.3024,False,False,< 1 trade/week
US30_USD,flow_faster_on,0.22523806870572147,1.385704882244581,0.038323157855313,50.0,-10.169759660831533,3.9153,False,False,< 1 trade/week
NAS100_USD,flow_faster_on,0.17627327116099942,1.064999473236851,0.0247619865718991,46.53,-6.442920628688961,3.7326,False,False,< 1 trade/week
NAS100_USD,flow_wider_targets_off,0.11261903435286073,2.1846942965420806,0.1286697798991392,47.83,-5.833217282343066,4.5326,False,True,< 1 trade/week
NAS100_USD,flow_wider_targets_on,0.06855071656261089,1.1803324539935598,-0.0182663498524882,39.29,-5.88155066809661,1.0108,False,False,< 1 trade/week
US30_USD,flow_balanced_on,0.0379477180971596,1.1692281609533506,-0.0468663193310335,38.71,-3.558006333479172,0.8664,False,False,< 1 trade/week
NAS100_USD,flow_balanced_on,0.0379477180971596,0.7290289748761962,-0.1458806001237755,35.48,-5.436466487427597,0.8664,False,False,< 1 trade/week
NAS100_USD,flow_tighter_stop_off,0.028154758588215183,0.5976254677199039,-0.10913348083797,52.17,-5.050212069331844,1.589,False,False,< 1 trade/week
NAS100_USD,flow_tighter_stop_on,0.019585919017888826,0.4678577103360554,-0.1349417380792314,56.25,-3.050642682741957,0.0,False,False,< 1 trade/week
US30_USD,flow_tighter_stop_off,0.014689439263416617,0.503905688720553,-0.2067892980094098,41.67,-4.581471576112923,0.6412,False,False,< 1 trade/week
NAS100_USD,flow_trendier_off,0.0048964797544722065,0.0224719101123604,-0.3440988750605472,25.0,-0.8744575157460932,0.0,False,False,< 1 trade/week
NAS100_USD,flow_trendier_on,0.0048964797544722065,0.0224719101123604,-0.3440988750605472,25.0,-0.8744575157460932,0.0,False,False,< 1 trade/week
US30_USD,flow_trendier_off,0.0036723598158541542,5.045191247796568,0.8213623877824117,66.67,-0.4359128366527778,0.6931,False,False,< 1 trade/week
US30_USD,flow_trendier_on,0.0024482398772361033,,1.3805155754468186,100.0,0.0,0.2747,False,False,< 1 trade/week
NAS100_USD,flow_faster_off,0.381925420848832,1.009823100882064,0.0100472541934682,46.15,-15.078939086433902,4.3097,False,False,1-4 trades/week
US30_USD,flow_wider_targets_off,0.10282607484391633,0.7213085357425332,-0.0129367568905963,34.52,-4.646199771378977,2.2213,False,False,1-4 trades/week
US30_USD,flow_wider_targets_on,0.07467131625570114,1.0371425706263335,0.0285078874527405,37.7,-3.420463974998951,2.0636,False,False,1-4 trades/week
NAS100_USD,flow_balanced_off,0.05998187699228453,1.4658875631927268,0.0380020722156724,44.9,-6.205196994725148,1.956,False,False,1-4 trades/week
US30_USD,flow_balanced_off,0.05508539723781232,0.7245201829831662,-0.0799739104652036,35.56,-5.362547588304478,0.9572,False,False,~1 trade/day
NAS100_USD,flow_session_push_off,1.450582127262391,0.9580464534412052,-0.0133196585632001,49.79,-36.46895216129839,3.5392,True,False,> 1 trade/day
US30_USD,flow_tighter_stop_on,0.011017079447562464,2.497608300545286,0.0246194621440718,55.56,-2.228424840703358,1.1513,False,False,> 1 trade/day
