symbol,timeframe,segments,trades,win_rate,avg_r,expectancy_r,profit_factor,max_drawdown_r,max_drawdown_currency,total_net_pnl,skipped_trades
EUR_USD,1h,3,105,0.38650793650793647,0.06480936507936506,0.06480936507936506,1.2761405254988605,-5.621899999999999,0.010591000000000001,-0.0011240000000000009,0
NAS100_USD,1h,3,11,0.0,-0.9559083333333334,-0.9559083333333334,0.0,-2.3139333333333334,90.70015933333336,-490.06796900000006,0
