setup_id,symbol,asset_class,timeframe,signal_type,timestamp,setup_bar_time,scenario,entry,stop_loss,target_1,status,outcome,outcome_timestamp,exit_price,bars_checked,realized_r
cwt-nas100_usd-5m-scenario1-long-202604060905,NAS100_USD,index,5m,long,2026-04-06T09:05:00+00:00,2026-04-06T09:00:00+00:00,scenario1,24231.6,24125.45685,24337.74315,closed,sl_hit,2026-04-06T10:45:00+00:00,24125.45685,20,-1.0
cwt-spx500_usd-5m-scenario1-long-202604060905,SPX500_USD,index,5m,long,2026-04-06T09:05:00+00:00,2026-04-06T09:00:00+00:00,scenario1,6614.2,6593.542698,6634.857302,closed,sl_hit,2026-04-06T10:45:00+00:00,6593.542698,20,-1.0
cwt-aud_usd-5m-scenario2-long-202604061150,AUD_USD,forex,5m,long,2026-04-06T11:50:00+00:00,2026-04-06T11:45:00+00:00,scenario2,0.69314,0.691843,0.694437,closed,sl_hit,2026-04-06T14:35:00+00:00,0.691843,33,-1.0
cwt-aud_usd-5m-scenario2-long-202604061210,AUD_USD,forex,5m,long,2026-04-06T12:10:00+00:00,2026-04-06T12:05:00+00:00,scenario2,0.69294,0.691846,0.694034,closed,sl_hit,2026-04-06T14:35:00+00:00,0.691846,29,-1.0
cwt-nas100_usd-5m-scenario2-long-202604061235,NAS100_USD,index,5m,long,2026-04-06T12:35:00+00:00,2026-04-06T12:30:00+00:00,scenario2,24173.8,24054.429643,24293.170357,closed,tp_hit,2026-04-06T14:00:00+00:00,24293.170357,17,1.0
cwt-spx500_usd-5m-scenario2-long-202604061255,SPX500_USD,index,5m,long,2026-04-06T12:55:00+00:00,2026-04-06T12:50:00+00:00,scenario2,6596.2,6560.843571,6631.556429,closed,tp_hit,2026-04-07T09:15:00+00:00,6631.556429,232,1.0
cwt-eur_usd-5m-scenario1-long-202604061315,EUR_USD,forex,5m,long,2026-04-06T13:15:00+00:00,2026-04-06T13:10:00+00:00,scenario1,1.15554,1.154653,1.156427,closed,tp_hit,2026-04-06T14:00:00+00:00,1.156427,9,1.0
cwt-eur_usd-5m-scenario1-long-202604061330,EUR_USD,forex,5m,long,2026-04-06T13:30:00+00:00,2026-04-06T13:25:00+00:00,scenario1,1.15573,1.154757,1.156703,closed,tp_hit,2026-04-06T14:25:00+00:00,1.156703,11,1.0
cwt-eur_usd-5m-scenario1-long-202604061335,EUR_USD,forex,5m,long,2026-04-06T13:35:00+00:00,2026-04-06T13:30:00+00:00,scenario1,1.15578,1.154797,1.156763,closed,tp_hit,2026-04-06T14:30:00+00:00,1.156763,11,1.0
cwt-nas100_usd-5m-scenario2-long-202604061335,NAS100_USD,index,5m,long,2026-04-06T13:35:00+00:00,2026-04-06T13:30:00+00:00,scenario2,24201.6,24053.8425,24349.3575,closed,sl_hit,2026-04-07T01:55:00+00:00,24053.8425,136,-1.0
cwt-nzd_usd-5m-scenario1-long-202604061335,NZD_USD,forex,5m,long,2026-04-06T13:35:00+00:00,2026-04-06T13:30:00+00:00,scenario1,0.57232,0.572028,0.572612,closed,sl_hit,2026-04-06T13:40:00+00:00,0.572028,1,-1.0
cwt-spx500_usd-5m-scenario2-long-202604061335,SPX500_USD,index,5m,long,2026-04-06T13:35:00+00:00,2026-04-06T13:30:00+00:00,scenario2,6602.0,6560.719643,6643.280357,closed,sl_hit,2026-04-07T14:05:00+00:00,6560.719643,282,-1.0
cwt-nas100_usd-5m-scenario2-long-202604061345,NAS100_USD,index,5m,long,2026-04-06T13:45:00+00:00,2026-04-06T13:40:00+00:00,scenario2,24176.2,24053.245357,24299.154643,closed,sl_hit,2026-04-07T01:55:00+00:00,24053.245357,134,-1.0
cwt-spx500_usd-5m-scenario2-long-202604061345,SPX500_USD,index,5m,long,2026-04-06T13:45:00+00:00,2026-04-06T13:40:00+00:00,scenario2,6596.4,6560.6175,6632.1825,closed,tp_hit,2026-04-07T09:15:00+00:00,6632.1825,222,1.0
cwt-eur_usd-5m-scenario1-long-202604061355,EUR_USD,forex,5m,long,2026-04-06T13:55:00+00:00,2026-04-06T13:50:00+00:00,scenario1,1.15598,1.154943,1.157017,closed,tp_hit,2026-04-06T14:35:00+00:00,1.157017,8,1.0
cwt-gbp_jpy-15m-scenario1-long-202604061400,GBP_JPY,forex_cross,15m,long,2026-04-06T14:00:00+00:00,2026-04-06T13:45:00+00:00,scenario1,211.442,211.133529,211.750471,closed,tp_hit,2026-04-07T08:00:00+00:00,211.750471,72,1.0
