timestamp,open,high,low,close,volume
2020-01-02 22:00:00+00:00,129.3,133.84,125.53,132.42,67747.0
2020-01-03 22:00:00+00:00,132.44,134.86,131.89,133.34,20566.0
2020-01-05 22:00:00+00:00,134.8,144.2,134.2,140.17,56603.0
2020-01-06 22:00:00+00:00,140.15,145.34,139.14,139.74,122661.0
2020-01-07 22:00:00+00:00,139.7,148.05,138.78,141.37,153409.0
2020-01-08 22:00:00+00:00,141.41,141.82,137.01,138.15,110583.0
2020-01-09 22:00:00+00:00,138.14,142.96,135.12,142.47,91592.0
2020-01-10 22:00:00+00:00,142.45,145.2,140.7,143.17,25092.0
2020-01-12 22:00:00+00:00,145.43,147.11,142.06,142.71,71163.0
2020-01-13 22:00:00+00:00,142.67,157.79,142.44,155.98,38158.0
2020-01-14 22:00:00+00:00,156.03,171.92,153.2,162.2,88146.0
2020-01-15 22:00:00+00:00,162.17,167.26,158.49,162.33,48675.0
2020-01-16 22:00:00+00:00,162.31,174.15,160.29,168.06,56780.0
2020-01-17 22:00:00+00:00,168.09,173.56,166.83,168.9,12265.0
2020-01-19 22:00:00+00:00,166.02,167.46,161.07,166.61,29330.0
2020-01-20 22:00:00+00:00,166.64,168.99,165.32,167.93,28097.0
2020-01-21 22:00:00+00:00,167.97,171.13,164.52,166.92,37188.0
2020-01-22 22:00:00+00:00,166.9,168.58,160.54,162.65,42688.0
2020-01-23 22:00:00+00:00,162.67,163.12,155.15,162.36,41608.0
2020-01-24 22:00:00+00:00,162.34,164.3,160.4,163.16,8706.0
2020-01-26 22:00:00+00:00,166.69,170.55,164.86,169.59,21399.0
2020-01-27 22:00:00+00:00,169.58,174.48,168.65,172.04,31209.0
2020-01-28 22:00:00+00:00,172.09,178.47,169.6,174.88,27852.0
2020-01-29 22:00:00+00:00,174.9,177.39,170.3,177.39,28819.0
2020-01-30 22:00:00+00:00,177.37,186.87,174.32,179.61,40811.0
2020-01-31 22:00:00+00:00,179.65,180.59,177.19,180.29,7876.0
2020-02-02 22:00:00+00:00,189.22,195.32,187.02,187.29,29064.0
2020-02-03 22:00:00+00:00,187.3,191.7,184.27,188.02,40031.0
2020-02-04 22:00:00+00:00,188.04,199.19,186.24,198.85,40517.0
2020-02-05 22:00:00+00:00,198.86,216.22,198.29,212.38,73851.0
2020-02-06 22:00:00+00:00,212.4,224.49,210.71,221.29,100199.0
2020-02-07 22:00:00+00:00,221.27,222.63,218.72,218.77,17339.0
2020-02-09 22:00:00+00:00,227.89,229.73,216.58,223.42,56541.0
2020-02-10 22:00:00+00:00,223.44,231.23,216.44,229.77,70298.0
2020-02-11 22:00:00+00:00,229.74,258.88,228.83,255.0,96997.0
2020-02-12 22:00:00+00:00,254.96,278.07,254.11,270.86,129259.0
2020-02-13 22:00:00+00:00,270.91,275.11,260.16,273.13,106696.0
2020-02-14 22:00:00+00:00,273.11,286.15,272.4,283.15,23763.0
2020-02-16 22:00:00+00:00,255.5,263.66,242.43,257.02,121904.0
2020-02-17 22:00:00+00:00,257.05,275.89,255.1,274.7,117233.0
2020-02-18 22:00:00+00:00,274.69,287.99,273.83,279.94,108303.0
2020-02-19 22:00:00+00:00,279.95,287.36,247.01,255.24,115524.0
2020-02-20 22:00:00+00:00,255.22,266.89,245.44,265.7,92808.0
2020-02-21 22:00:00+00:00,265.74,268.81,260.2,264.2,19770.0
2020-02-23 22:00:00+00:00,273.26,278.2,263.64,267.78,56522.0
2020-02-24 22:00:00+00:00,267.74,270.7,249.9,251.89,135392.0
2020-02-25 22:00:00+00:00,251.7,254.87,225.49,225.9,141903.0
2020-02-26 22:00:00+00:00,225.92,233.22,209.7,231.08,173765.0
2020-02-27 22:00:00+00:00,231.09,238.64,213.73,227.07,143154.0
2020-02-28 22:00:00+00:00,227.09,228.45,220.17,223.46,31630.0
2020-03-01 22:00:00+00:00,218.84,229.73,215.73,228.47,58288.0
2020-03-02 22:00:00+00:00,228.49,234.59,222.43,224.74,77392.0
2020-03-03 22:00:00+00:00,224.76,228.84,220.0,221.9,69226.0
2020-03-04 22:00:00+00:00,221.89,234.45,219.37,231.75,69775.0
2020-03-05 22:00:00+00:00,231.88,241.82,226.68,235.23,68103.0
2020-03-06 22:00:00+00:00,235.25,239.69,235.25,239.25,11724.0
2020-03-08 21:00:00+00:00,204.01,209.8,188.06,192.69,131953.0
2020-03-09 21:00:00+00:00,192.66,206.17,191.0,196.56,76486.0
2020-03-10 21:00:00+00:00,196.47,204.09,190.33,192.04,68995.0
2020-03-11 21:00:00+00:00,192.06,195.73,124.03,140.77,206476.0
2020-03-12 21:00:00+00:00,140.82,145.36,87.12,125.0,293830.0
2020-03-13 21:00:00+00:00,124.98,131.9,115.77,129.19,65097.0
2020-03-15 21:00:00+00:00,123.39,125.46,100.63,114.77,93991.0
2020-03-16 21:00:00+00:00,114.74,121.3,107.26,118.01,131507.0
2020-03-17 21:00:00+00:00,118.03,120.51,110.16,116.22,106633.0
2020-03-18 21:00:00+00:00,116.28,129.8,113.06,128.75,86805.0
2020-03-19 21:00:00+00:00,128.77,153.15,126.95,143.19,105567.0
2020-03-20 21:00:00+00:00,143.09,145.19,115.88,125.53,42902.0
2020-03-22 21:00:00+00:00,123.17,138.47,119.45,129.64,48878.0
2020-03-23 21:00:00+00:00,129.65,144.11,129.27,136.61,84224.0
2020-03-24 21:00:00+00:00,136.67,142.92,132.83,135.77,90766.0
2020-03-25 21:00:00+00:00,135.78,139.01,133.42,134.75,53343.0
2020-03-26 21:00:00+00:00,134.73,141.96,133.75,136.21,38852.0
2020-03-27 21:00:00+00:00,136.25,137.61,135.24,137.61,11524.0
2020-03-29 21:00:00+00:00,124.81,135.05,124.02,132.2,42305.0
2020-03-30 21:00:00+00:00,132.22,135.55,130.41,132.96,59505.0
2020-03-31 21:00:00+00:00,132.98,135.42,130.52,131.79,322688.0
2020-04-01 21:00:00+00:00,131.8,140.08,128.71,139.15,185982.0
2020-04-02 21:00:00+00:00,139.18,150.5,138.09,141.96,215691.0
2020-04-03 21:00:00+00:00,142.01,142.95,137.91,142.5,12251.0
2020-04-05 21:00:00+00:00,142.71,159.12,142.65,156.33,234160.0
2020-04-06 21:00:00+00:00,156.34,176.55,156.0,168.42,244191.0
2020-04-07 21:00:00+00:00,168.42,174.81,162.18,168.52,224419.0
2020-04-08 21:00:00+00:00,168.53,173.88,165.2,171.32,76881.0
2020-04-09 21:00:00+00:00,171.34,171.34,155.91,157.45,106239.0
2020-04-10 21:00:00+00:00,157.46,159.28,152.31,158.51,24571.0
2020-04-12 21:00:00+00:00,164.09,164.78,149.55,153.42,155832.0
2020-04-13 21:00:00+00:00,153.41,161.7,152.92,159.39,447670.0
2020-04-14 21:00:00+00:00,159.42,162.26,155.2,156.99,192027.0
2020-04-15 21:00:00+00:00,156.96,174.79,148.2,170.78,104510.0
2020-04-16 21:00:00+00:00,170.87,175.37,168.47,169.64,173937.0
2020-04-17 21:00:00+00:00,169.64,171.56,169.32,171.19,8868.0
2020-04-19 21:00:00+00:00,183.38,186.8,173.28,179.87,74970.0
2020-04-20 21:00:00+00:00,179.82,180.79,166.76,170.91,108398.0
2020-04-21 21:00:00+00:00,170.92,183.36,169.56,182.33,81599.0
2020-04-22 21:00:00+00:00,182.36,194.61,178.3,189.67,85015.0
2020-04-23 21:00:00+00:00,189.73,191.13,183.08,187.3,78930.0
2020-04-24 21:00:00+00:00,187.29,189.2,186.56,188.79,10956.0
2020-04-26 21:00:00+00:00,196.46,199.58,189.74,192.16,61357.0
2020-04-27 21:00:00+00:00,192.24,197.9,191.32,194.48,58376.0
2020-04-28 21:00:00+00:00,194.5,211.55,194.2,209.92,77642.0
2020-04-29 21:00:00+00:00,209.94,227.63,202.12,211.56,150449.0
2020-04-30 21:00:00+00:00,211.53,217.59,202.26,212.11,118332.0
2020-05-01 21:00:00+00:00,212.16,213.15,208.37,209.3,16462.0
2020-05-03 21:00:00+00:00,209.57,211.74,195.09,203.93,261846.0
2020-05-04 21:00:00+00:00,203.95,212.22,201.33,204.05,313036.0
2020-05-05 21:00:00+00:00,204.01,211.26,201.97,208.31,346159.0
2020-05-06 21:00:00+00:00,208.35,209.3,196.75,206.58,181851.0
2020-05-07 21:00:00+00:00,206.54,217.06,204.04,211.95,238571.0
2020-05-08 21:00:00+00:00,211.93,215.38,211.0,213.27,13943.0
2020-05-10 21:00:00+00:00,189.21,193.79,183.91,188.08,177918.0
2020-05-11 21:00:00+00:00,188.04,192.44,176.12,191.31,314361.0
2020-05-12 21:00:00+00:00,191.33,198.46,186.93,196.91,633868.0
2020-05-13 21:00:00+00:00,196.96,206.38,195.59,202.12,205625.0
2020-05-14 21:00:00+00:00,202.1,205.4,196.28,199.7,256467.0
2020-05-15 21:00:00+00:00,199.67,199.67,193.88,194.44,14241.0
2020-05-17 21:00:00+00:00,208.95,217.08,206.09,212.58,591670.0
2020-05-18 21:00:00+00:00,212.54,216.34,208.8,212.64,638060.0
2020-05-19 21:00:00+00:00,212.61,216.13,209.84,213.85,727291.0
2020-05-20 21:00:00+00:00,213.89,213.9,196.1,200.0,684416.0
2020-05-21 21:00:00+00:00,199.93,204.28,191.37,202.67,784263.0
2020-05-22 21:00:00+00:00,202.7,209.36,202.62,207.69,53570.0
2020-05-24 21:00:00+00:00,207.06,207.23,197.96,202.28,300466.0
2020-05-25 21:00:00+00:00,202.31,205.83,200.13,200.98,1075160.0
2020-05-26 21:00:00+00:00,201.08,207.88,196.63,205.86,1337945.0
2020-05-27 21:00:00+00:00,205.85,212.52,204.18,212.44,1298106.0
2020-05-28 21:00:00+00:00,212.51,224.93,212.06,219.88,1340457.0
2020-05-29 21:00:00+00:00,219.9,222.56,218.14,219.84,279553.0
2020-05-31 21:00:00+00:00,234.59,242.51,229.34,239.43,1101085.0
2020-06-01 21:00:00+00:00,239.5,253.86,225.82,234.22,1587376.0
2020-06-02 21:00:00+00:00,234.2,240.76,229.1,239.4,926194.0
