segment,start,end,symbol,timeframe,profile_name,trades,win_rate,avg_r,expectancy_r,profit_factor,max_drawdown_r,max_drawdown_currency,total_net_pnl,total_commission,skipped_trades,partial_size_trades,signals,trade_csv,diagnostics
segment_2025_h1,2025-01-01,2025-06-30,FR40_EUR,4h,fr40_eur_4h,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\FR40_EUR_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 0}"
segment_2025_h1,2025-01-01,2025-06-30,JP225_USD,4h,jp225_usd_4h,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\JP225_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 0}"
segment_2025_h1,2025-01-01,2025-06-30,ESPIX_EUR,4h,espix_eur_4h,1,1.0,8.8227,8.8227,999.0,0.0,0.0,720.75,0.0,0,0,1,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\ESPIX_EUR_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 1}"
segment_2025_h1,2025-01-01,2025-06-30,EUR_USD,4h,eur_usd_4h,13,0.46153846153846156,-0.09745384615384614,-0.09745384615384614,0.7150408241300975,-2.0045,0.0061200000000000004,0.0032179999999999986,0.0,0,0,13,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\EUR_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 13}"
segment_2025_h1,2025-01-01,2025-06-30,GBP_USD,4h,gbp_usd_4h,21,0.14285714285714285,-0.19231428571428572,-0.19231428571428572,0.5827332183041112,-7.4049,0.03224900000000001,-0.028127,0.0,0,0,21,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\GBP_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 21}"
segment_2025_h1,2025-01-01,2025-06-30,USD_JPY,4h,usd_jpy_4h,16,0.625,0.249,0.249,2.8727965026089404,-1.0,0.562813,3.5008539999999995,0.0,0,0,16,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\USD_JPY_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 16}"
segment_2025_h1,2025-01-01,2025-06-30,AUD_USD,4h,aud_usd_4h,13,0.23076923076923078,-0.19096153846153846,-0.19096153846153846,0.308438031033234,-3.5896999999999997,0.016313,-0.013603,0.0,0,0,13,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\AUD_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 13}"
segment_2025_h1,2025-01-01,2025-06-30,AUD_CHF,4h,aud_chf_4h,17,0.11764705882352941,-0.5064529411764706,-0.5064529411764706,0.01649512799716704,-7.7574000000000005,0.022891000000000005,-0.025360999999999998,0.0,0,0,17,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\AUD_CHF_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 17}"
segment_2025_h1,2025-01-01,2025-06-30,USD_CAD,4h,usd_cad_4h,12,0.25,-0.11997500000000004,-0.11997500000000004,0.6425680875890661,-1.7711000000000001,0.009859,-0.00662,0.0,0,0,12,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\USD_CAD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 12}"
segment_2025_h1,2025-01-01,2025-06-30,USD_CHF,4h,usd_chf_4h,21,0.2857142857142857,-0.007195238095238106,-0.007195238095238106,0.9774174263936632,-4.130599999999999,0.020610999999999997,0.012331999999999997,0.0,0,0,21,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\USD_CHF_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 21}"
segment_2025_h1,2025-01-01,2025-06-30,NZD_USD,4h,nzd_usd_4h,11,0.2727272727272727,0.10737272727272727,0.10737272727272727,1.376746411483254,-2.7282,0.010985,-0.004435,0.0,0,0,11,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\NZD_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 11}"
