symbol,timeframe,segments,trades,win_rate,avg_r,expectancy_r,profit_factor,max_drawdown_r,max_drawdown_currency,total_net_pnl,skipped_trades
AUD_CHF,4h,6,117,0.3472595197499289,-0.06822309232026141,-0.06822309232026141,0.9434272503275901,-3.9275333333333333,0.010161333333333336,-0.011269000000000003,0
AUD_USD,4h,6,107,0.3660759175465058,0.050552060583207666,0.050552060583207666,1.2871395152492424,-3.02955,0.010889666666666666,0.012872000000000001,0
BCH_USD,4h,6,80,0.2546858599490178,0.04038923001949318,0.04038923001949318,1.1764723758719786,-3.351233333333333,34.93522316666667,-13.288285000000002,0
BCO_USD,4h,6,107,0.37892399424907164,0.16731331502461533,0.16731331502461533,1.5071789582841308,-3.3305666666666665,3.3371736666666667,8.507792,0
BTC_USD,4h,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ESPIX_EUR,4h,6,2,0.16666666666666666,1.3037833333333333,1.3037833333333333,166.5,0.0,0.0,652.953657,0
ETH_USD,4h,6,12,0.027777777777777776,-0.6685888888888889,-0.6685888888888889,0.05470213563132258,-0.8784000000000001,39.84566366666667,-412.423989,0
EUR_GBP,4h,6,117,0.29571666319950074,-0.13039310346023159,-0.13039310346023159,0.7248978963571752,-5.347366666666667,0.009179666666666668,-0.022863,0
EUR_JPY,4h,6,111,0.3844889569793662,0.027064874897587504,0.027064874897587504,1.148031936139294,-3.5883499999999997,2.3815996666666663,3.1611840000000013,0
EUR_USD,4h,6,104,0.48216929221831184,0.3346287822607676,0.3346287822607676,4.422553245882628,-2.8635333333333333,0.008372,0.06430899999999999,0
FR40_EUR,4h,6,9,0.16666666666666666,0.07615000000000001,0.07615000000000001,166.5,-0.6666666666666666,38.06270033333333,-398.52117799999996,0
GBP_JPY,4h,6,113,0.3091037045842538,-0.1350323949696375,-0.1350323949696375,0.7098743618871897,-5.131049999999999,4.9560113333333335,-12.586567,0
GBP_USD,4h,6,92,0.31147787397787396,0.0063507187950938015,0.0063507187950938015,1.2554986977419091,-3.560816666666667,0.013985166666666668,-0.006312000000000002,0
JP225_USD,4h,6,2,0.0,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,-427.225811,0
LTC_USD,4h,6,109,0.18816425120772948,-0.31956331772575247,-0.31956331772575247,0.3961445327737892,-5.156233333333334,16.477920166666667,-83.420615,0
NAS100_USD,4h,6,1,0.16666666666666666,2.11355,2.11355,166.5,0.0,0.0,457.6,0
NZD_USD,4h,6,108,0.3140276993537863,-0.0735491911584792,-0.0735491911584792,0.8464275693404931,-4.210133333333333,0.012157833333333333,-0.039989000000000004,0
SPX500_USD,4h,6,26,0.15833333333333333,-0.5172158333333333,-0.5172158333333333,0.427011778625415,-2.72085,55.607161166666664,-296.957126,0
UK100_GBP,4h,6,18,0.4305555555555555,1.7021458333333335,1.7021458333333335,5.897614175439858,-0.8212833333333335,23.66135916666667,786.685378,0
US30_USD,4h,6,3,0.0,-0.3333333333333333,-0.3333333333333333,0.0,-0.16666666666666666,17.731896333333335,-135.04000100000002,0
USD_CAD,4h,6,98,0.3060185185185185,-0.12081430555555556,-0.12081430555555556,0.7478157625443651,-3.6420666666666666,0.012827833333333335,-0.048734,0
USD_CHF,4h,6,114,0.23071627375032946,-0.14237142325510746,-0.14237142325510746,0.7314361057546136,-4.7432,0.014041333333333334,-0.033760000000000005,0
USD_JPY,4h,6,97,0.38978684359119137,0.07504528514963298,0.07504528514963298,1.497371081837161,-2.8168333333333333,2.0340845,5.923881999999999,0
WTICO_USD,4h,6,123,0.41993570883731063,0.3355581795975446,0.3355581795975446,2.1707672667227285,-3.6553166666666663,3.613463166666667,23.966804,0
XAG_USD,4h,6,107,0.3901991526991527,0.3638008648758649,0.3638008648758649,2.368502315762423,-2.7657166666666666,1.6286056666666664,16.615541999999998,0
XAU_USD,4h,6,57,0.3153439153439153,0.16166441798941797,0.16166441798941797,1.4221260451766453,-2.48285,36.13660216666667,209.254374,0
