trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
AUD_USD-4h-short-32:1,AUD_USD,4h,aud_usd_4h,short,2025-01-10 06:00:00+00:00,2025-01-10 10:00:00+00:00,2025-01-13 18:00:00+00:00,0.61836,0.6211224688090392,0.6120400000000001,0.61778,trendline_invalidation,1.0,0.00058,0.0,0.00058,0.21,0.000938,8,1,84,moderately_stretched,0.0020098752361570977,0.0015399999999999858,0.2621,3.05,normal,asia,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-32
AUD_USD-4h-short-117:2,AUD_USD,4h,aud_usd_4h,short,2025-01-30 06:00:00+00:00,2025-01-30 10:00:00+00:00,2025-01-31 02:00:00+00:00,0.6227,0.624895785689385,0.61636,0.62233,trendline_invalidation,1.0,0.00037,0.0,0.00037,0.1685,0.000594,4,1,80,moderately_stretched,0.0021431427575399837,0.001960000000000073,0.2769,1.87,normal,asia,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-117
AUD_USD-4h-short-125:3,AUD_USD,4h,aud_usd_4h,short,2025-02-02 22:00:00+00:00,2025-02-03 02:00:00+00:00,2025-02-03 06:00:00+00:00,0.61159,0.6270278650639041,0.5903500000000004,0.61416,trendline_invalidation,1.0,-0.00257,0.0,-0.00257,-0.1665,-0.004202,1,1,84,moderately_stretched,0.002991460255616638,0.005680000000000018,0.5,4.8,expanded,off_hours,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-125
AUD_USD-4h-short-232:4,AUD_USD,4h,aud_usd_4h,short,2025-02-26 10:00:00+00:00,2025-02-26 14:00:00+00:00,2025-02-26 22:00:00+00:00,0.63054,0.6358798685651394,0.6272466666666668,0.63068,trendline_invalidation,1.0,-0.00014,0.0,-0.00014,-0.0262,-0.000222,2,1,77,moderately_stretched,0.001999474260558159,0.0021200000000000108,0.3643,1.33,normal,london,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-232
AUD_USD-4h-short-254:5,AUD_USD,4h,aud_usd_4h,short,2025-03-04 02:00:00+00:00,2025-03-04 06:00:00+00:00,2025-03-04 06:00:00+00:00,0.62018,0.6260013234164952,0.6135,0.62218,trendline_invalidation,1.0,-0.002,0.0,-0.002,-0.3436,-0.003225,0,2,77,moderately_stretched,0.002165293665980642,0.0025600000000000067,0.3099,1.29,normal,asia,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-254
AUD_USD-4h-long-274:6,AUD_USD,4h,aud_usd_4h,long,2025-03-09 21:00:00+00:00,2025-03-10 01:00:00+00:00,2025-03-10 13:00:00+00:00,0.63109,0.6275776250407007,0.6486800000000001,0.62996,trendline_invalidation,1.0,-0.00113,0.0,-0.00113,-0.3217,-0.001791,3,1,88,normal,0.002569499837197234,0.0018799999999999928,0.4625,4.68,normal,off_hours,bullish_hh_hl_continuation,bullish,AUD_USD-4h-long-274
AUD_USD-4h-short-289:7,AUD_USD,4h,aud_usd_4h,short,2025-03-12 01:00:00+00:00,2025-03-12 05:00:00+00:00,2025-03-12 09:00:00+00:00,0.62892,0.6317885082159062,0.6177600000000003,0.6317885082159062,stop,1.0,-0.002869,0.0,-0.002869,-1.0,-0.004561,1,1,84,normal,0.0024340328636246198,0.0015200000000000768,0.5024,3.69,normal,asia,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-289
AUD_USD-4h-long-320:8,AUD_USD,4h,aud_usd_4h,long,2025-03-18 21:00:00+00:00,2025-03-19 01:00:00+00:00,2025-03-19 01:00:00+00:00,0.63617,0.6339223875869208,0.6452000000000002,0.63562,trendline_invalidation,1.0,-0.00055,0.0,-0.00055,-0.2447,-0.000865,0,1,84,moderately_stretched,0.001910449652317014,0.0006899999999999684,0.3854,3.5,normal,off_hours,bullish_hh_hl_continuation,bullish,AUD_USD-4h-long-320
AUD_USD-4h-short-334:9,AUD_USD,4h,aud_usd_4h,short,2025-03-21 05:00:00+00:00,2025-03-21 09:00:00+00:00,2025-03-24 05:00:00+00:00,0.62924,0.6311660602278836,0.62306,0.62951,trendline_invalidation,1.0,-0.00027,0.0,-0.00027,-0.1402,-0.000429,5,1,81,moderately_stretched,0.002144240911534358,0.0016399999999999748,0.293,2.18,normal,asia,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-334
AUD_USD-4h-short-406:10,AUD_USD,4h,aud_usd_4h,short,2025-04-08 21:00:00+00:00,2025-04-09 01:00:00+00:00,2025-04-09 01:00:00+00:00,0.59602,0.6101412705009167,0.5439299999999998,0.59762,trendline_invalidation,1.0,-0.0016,0.0,-0.0016,-0.1133,-0.002684,0,1,84,moderately_stretched,0.006365082003666749,0.005009999999999959,0.3172,3.28,normal,off_hours,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-406
